DATE,Daily_Mean_Ozone,Daily_AQI_Value,AQI_Targeted_Value_LAG_1
2022-01-01,0.025,23.0,30.33333333333333
2022-01-02,0.032333333,30.33333333333333,27.666666666666668
2022-01-03,0.029666667,27.666666666666668,33.333333333333336
2022-01-04,0.036,33.333333333333336,30.666666666666668
2022-01-05,0.033,30.666666666666668,23.0
2022-01-06,0.025,23.0,23.33333333333333
2022-01-07,0.025333333,23.33333333333333,15.666666666666666
2022-01-08,0.016666667,15.666666666666666,24.33333333333333
2022-01-09,0.026333333,24.33333333333333,22.0
2022-01-10,0.023666667,22.0,26.666666666666668
2022-01-11,0.029,26.666666666666668,29.666666666666668
2022-01-12,0.032,29.666666666666668,28.666666666666668
2022-01-13,0.031,28.666666666666668,41.333333333333336
2022-01-14,0.044333333,41.333333333333336,26.666666666666668
2022-01-15,0.028666667,26.666666666666668,29.0
2022-01-16,0.031333333,29.0,28.666666666666668
2022-01-17,0.031,28.666666666666668,40.66666666666666
2022-01-18,0.044,40.66666666666666,23.33333333333333
2022-01-19,0.025333333,23.33333333333333,26.0
2022-01-20,0.028,26.0,26.5
2022-01-21,0.0285,26.5,25.0
2022-01-22,0.027,25.0,33.5
2022-01-23,0.036,33.5,18.0
2022-01-24,0.0195,18.0,29.0
2022-01-25,0.031,29.0,29.0
2022-01-26,0.031,29.0,19.33333333333333
2022-01-27,0.021,19.33333333333333,31.0
2022-01-28,0.033666667,31.0,33.0
2022-01-29,0.035666667,33.0,40.0
2022-01-30,0.043,40.0,31.33333333333333
2022-01-31,0.034,31.33333333333333,33.0
2022-02-01,0.035666667,33.0,27.666666666666668
2022-02-02,0.029666667,27.666666666666668,28.666666666666668
2022-02-03,0.031,28.666666666666668,34.0
2022-02-04,0.037,34.0,34.0
2022-02-05,0.036666667,34.0,36.333333333333336
2022-02-06,0.039333333,36.333333333333336,30.33333333333333
2022-02-07,0.032666667,30.33333333333333,34.333333333333336
2022-02-08,0.037,34.333333333333336,32.333333333333336
2022-02-09,0.035,32.333333333333336,34.666666666666664
2022-02-10,0.037666667,34.666666666666664,49.66666666666666
2022-02-11,0.051666667,49.66666666666666,33.0
2022-02-12,0.035333333,33.0,36.0
2022-02-13,0.039,36.0,38.66666666666666
2022-02-14,0.041666667,38.66666666666666,42.0
2022-02-15,0.045333333,42.0,28.0
2022-02-16,0.030333333,28.0,31.666666666666668
2022-02-17,0.034,31.666666666666668,30.666666666666668
2022-02-18,0.033333333,30.666666666666668,35.0
2022-02-19,0.037666667,35.0,41.0
2022-02-20,0.044333333,41.0,28.0
2022-02-21,0.030333333,28.0,19.33333333333333
2022-02-22,0.021,19.33333333333333,16.333333333333332
2022-02-23,0.017333333,16.333333333333332,20.0
2022-02-24,0.021666667,20.0,27.0
2022-02-25,0.029,27.0,21.0
2022-02-26,0.022666667,21.0,39.66666666666666
2022-02-27,0.043,39.66666666666666,38.0
2022-02-28,0.041333333,38.0,45.66666666666666
2022-03-01,0.048666667,45.66666666666666,71.0
2022-03-02,0.061,71.0,65.5
2022-03-03,0.0595,65.5,34.0
2022-03-04,0.036666667,34.0,25.5
2022-03-05,0.0275,25.5,22.0
2022-03-06,0.023666667,22.0,31.666666666666668
2022-03-07,0.034333333,31.666666666666668,20.0
2022-03-08,0.021666667,20.0,38.0
2022-03-09,0.041,38.0,38.0
2022-03-10,0.041,38.0,35.0
2022-03-11,0.038,35.0,39.333333333333336
2022-03-12,0.042666667,39.333333333333336,54.66666666666666
2022-03-13,0.054666667,54.66666666666666,39.0
2022-03-14,0.042,39.0,37.333333333333336
2022-03-15,0.040333333,37.333333333333336,57.333333333333336
2022-03-16,0.055333333,57.333333333333336,45.333333333333336
2022-03-17,0.049,45.333333333333336,38.0
2022-03-18,0.041,38.0,44.66666666666666
2022-03-19,0.048333333,44.66666666666666,57.0
2022-03-20,0.055666667,57.0,26.0
2022-03-21,0.028,26.0,33.0
2022-03-22,0.035666667,33.0,41.66666666666666
2022-03-23,0.045,41.66666666666666,41.333333333333336
2022-03-24,0.044666667,41.333333333333336,44.0
2022-03-25,0.047666667,44.0,76.0
2022-03-26,0.062666667,76.0,55.0
2022-03-27,0.055333333,55.0,43.0
2022-03-28,0.046666667,43.0,37.0
2022-03-29,0.04,37.0,26.666666666666668
2022-03-30,0.028666667,26.666666666666668,40.333333333333336
2022-03-31,0.043666667,40.333333333333336,45.66666666666666
2022-04-01,0.049333333,45.66666666666666,56.66666666666666
2022-04-02,0.056,56.66666666666666,56.333333333333336
2022-04-03,0.055666667,56.333333333333336,36.0
2022-04-04,0.039,36.0,42.66666666666666
2022-04-05,0.046333333,42.66666666666666,44.0
2022-04-06,0.047333333,44.0,40.333333333333336
2022-04-07,0.043333333,40.333333333333336,41.333333333333336
2022-04-08,0.044666667,41.333333333333336,55.333333333333336
2022-04-09,0.055333333,55.333333333333336,42.66666666666666
2022-04-10,0.046,42.66666666666666,41.66666666666666
2022-04-11,0.045,41.66666666666666,31.0
2022-04-12,0.033666667,31.0,40.333333333333336
2022-04-13,0.043666667,40.333333333333336,44.0
2022-04-14,0.047333333,44.0,31.33333333333333
2022-04-15,0.034,31.33333333333333,26.0
2022-04-16,0.028,26.0,41.0
2022-04-17,0.044333333,41.0,35.0
2022-04-18,0.038,35.0,41.333333333333336
2022-04-19,0.044666667,41.333333333333336,32.333333333333336
2022-04-20,0.035,32.333333333333336,33.666666666666664
2022-04-21,0.036333333,33.666666666666664,42.66666666666666
2022-04-22,0.046,42.66666666666666,32.666666666666664
2022-04-23,0.035333333,32.666666666666664,29.0
